key_id,tournament_id,tournament_name,team_id,team_name,team_code,count_matches,x_axis,y_axis,performance,conf_code
1,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,5,6.45,5,final,CONMEBOL
2,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,2,22,1,group stage,UEFA
3,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,2,0.6,1,group stage,CONMEBOL
4,WC-1930,1930 FIFA Men's World Cup,T-09,Brazil,BRA,2,7.425,1,group stage,CONMEBOL
5,WC-1930,1930 FIFA Men's World Cup,T-13,Chile,CHL,3,5.475,1,group stage,CONMEBOL
6,WC-1930,1930 FIFA Men's World Cup,T-30,France,FRA,3,38,1,group stage,UEFA
7,WC-1930,1930 FIFA Men's World Cup,T-46,Mexico,MEX,3,9.4,1,group stage,CONCACAF
8,WC-1930,1930 FIFA Men's World Cup,T-55,Paraguay,PRY,2,4.5,1,group stage,CONMEBOL
9,WC-1930,1930 FIFA Men's World Cup,T-56,Peru,PER,2,3.525,1,group stage,CONMEBOL
10,WC-1930,1930 FIFA Men's World Cup,T-61,Romania,ROU,2,17,1,group stage,UEFA
11,WC-1930,1930 FIFA Men's World Cup,T-83,United States,USA,3,10.4,4,semi-finals,CONCACAF
12,WC-1930,1930 FIFA Men's World Cup,T-84,Uruguay,URY,4,8.4,5,final,CONMEBOL
13,WC-1930,1930 FIFA Men's World Cup,T-87,Yugoslavia,YUG,3,28,4,semi-finals,UEFA
14,WC-1934,1934 FIFA Men's World Cup,T-03,Argentina,ARG,1,6.45,2,round of 16,CONMEBOL
15,WC-1934,1934 FIFA Men's World Cup,T-05,Austria,AUT,4,21,4,third-place match,UEFA
16,WC-1934,1934 FIFA Men's World Cup,T-06,Belgium,BEL,1,22,2,round of 16,UEFA
17,WC-1934,1934 FIFA Men's World Cup,T-09,Brazil,BRA,1,7.425,2,round of 16,CONMEBOL
18,WC-1934,1934 FIFA Men's World Cup,T-21,Czechoslovakia,CSK,4,29,5,final,UEFA
19,WC-1934,1934 FIFA Men's World Cup,T-26,Egypt,EGY,1,8.05,2,round of 16,CAF
20,WC-1934,1934 FIFA Men's World Cup,T-30,France,FRA,1,38,2,round of 16,UEFA
21,WC-1934,1934 FIFA Men's World Cup,T-31,Germany,DEU,4,34,4,third-place match,UEFA
22,WC-1934,1934 FIFA Men's World Cup,T-36,Hungary,HUN,2,31,3,quarter-finals,UEFA
23,WC-1934,1934 FIFA Men's World Cup,T-41,Italy,ITA,5,39,5,final,UEFA
24,WC-1934,1934 FIFA Men's World Cup,T-48,Netherlands,NLD,1,32,2,round of 16,UEFA
25,WC-1934,1934 FIFA Men's World Cup,T-61,Romania,ROU,1,17,2,round of 16,UEFA
26,WC-1934,1934 FIFA Men's World Cup,T-73,Spain,ESP,3,37,3,quarter-finals,UEFA
27,WC-1934,1934 FIFA Men's World Cup,T-74,Sweden,SWE,2,33,3,quarter-finals,UEFA
28,WC-1934,1934 FIFA Men's World Cup,T-75,Switzerland,CHE,2,13,3,quarter-finals,UEFA
29,WC-1934,1934 FIFA Men's World Cup,T-83,United States,USA,1,10.4,2,round of 16,CONCACAF
30,WC-1938,1938 FIFA Men's World Cup,T-06,Belgium,BEL,1,22,2,round of 16,UEFA
106,WC-1966,1966 FIFA Men's World Cup,T-03,Argentina,ARG,4,6.45,3,quarter-finals,CONMEBOL
32,WC-1938,1938 FIFA Men's World Cup,T-19,Cuba,CUB,3,8.425,3,quarter-finals,CONCACAF
33,WC-1938,1938 FIFA Men's World Cup,T-21,Czechoslovakia,CSK,3,29,3,quarter-finals,UEFA
237,WC-1990,1990 FIFA Men's World Cup,T-82,United Arab Emirates,ARE,3,0.575,1,group stage,AFC
35,WC-1938,1938 FIFA Men's World Cup,T-30,France,FRA,2,38,3,quarter-finals,UEFA
36,WC-1938,1938 FIFA Men's World Cup,T-31,Germany,DEU,2,34,2,round of 16,UEFA
37,WC-1938,1938 FIFA Men's World Cup,T-36,Hungary,HUN,4,31,5,final,UEFA
38,WC-1938,1938 FIFA Men's World Cup,T-41,Italy,ITA,4,39,5,final,UEFA
39,WC-1938,1938 FIFA Men's World Cup,T-48,Netherlands,NLD,1,32,2,round of 16,UEFA
40,WC-1938,1938 FIFA Men's World Cup,T-53,Norway,NOR,1,11,2,round of 16,UEFA
41,WC-1938,1938 FIFA Men's World Cup,T-57,Poland,POL,1,24,2,round of 16,UEFA
42,WC-1938,1938 FIFA Men's World Cup,T-61,Romania,ROU,2,17,2,round of 16,UEFA
43,WC-1938,1938 FIFA Men's World Cup,T-74,Sweden,SWE,3,33,4,third-place match,UEFA
44,WC-1938,1938 FIFA Men's World Cup,T-75,Switzerland,CHE,3,13,3,quarter-finals,UEFA
